date,store_id,sku,product_name,flavor,units,unit_price
2026-08-22,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-22,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-22,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-22,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-22,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-22,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-22,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-22,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-22,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-22,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-22,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-22,S04,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-22,S05,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-22,S05,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-22,S05,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-22,S06,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-22,S06,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-22,S06,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-22,S07,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,11,3.49
2026-08-22,S07,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-22,S07,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-22,S08,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-22,S08,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-22,S08,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-22,S09,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-22,S09,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-22,S09,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-22,S10,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-22,S10,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-22,S10,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-22,S11,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-22,S11,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-22,S11,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-22,S12,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-22,S12,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-22,S12,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-23,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-23,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-23,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-23,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-23,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-23,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-23,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-23,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-23,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-23,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-23,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-23,S04,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-23,S05,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-23,S05,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-23,S05,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-23,S06,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-23,S06,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-23,S06,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-23,S07,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-23,S07,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-23,S07,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-23,S08,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-23,S08,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-23,S08,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-23,S09,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-23,S09,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-23,S09,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-23,S10,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-23,S10,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-23,S10,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-23,S11,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-23,S11,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-23,S11,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-23,S12,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,11,3.49
2026-08-23,S12,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-23,S12,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-24,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-24,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-24,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-24,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-24,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,9,3.29
2026-08-24,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-24,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-24,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-24,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-24,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-24,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-24,S04,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-24,S05,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-24,S05,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-24,S05,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-24,S06,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-24,S06,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-24,S06,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-24,S07,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-24,S07,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-24,S07,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-24,S08,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-24,S08,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-24,S08,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-24,S09,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,15,3.49
2026-08-24,S09,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-24,S09,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-24,S10,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,13,3.49
2026-08-24,S10,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,10,3.29
2026-08-24,S10,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-24,S11,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-24,S11,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-24,S11,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-24,S12,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-24,S12,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-24,S12,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,7,3.49
2026-08-25,S01,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,17,3.49
2026-08-25,S01,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,13,3.29
2026-08-25,S01,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-25,S02,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,16,3.49
2026-08-25,S02,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,11,3.29
2026-08-25,S02,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,6,3.49
2026-08-25,S03,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,14,3.49
2026-08-25,S03,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-25,S03,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
2026-08-25,S04,PT-STRW,Pop-Tarts Strawberry 8ct,Strawberry,12,3.49
2026-08-25,S04,PT-BSCN,Pop-Tarts Brown Sugar Cinnamon 8ct,Brown Sugar Cinnamon,12,3.29
2026-08-25,S04,PT-BLUE,Pop-Tarts Blueberry 8ct,Blueberry,8,3.49
